Operation,Time (seconds)
Load,1.6687853336334229
Clean,0.07906317710876465
Sum,0.06083106994628906
Count,0.009434223175048828
Groupby Age Sum,0.0355982780456543
Filter Age > 0,0.01558995246887207
Select Year and Count,0.0075778961181640625
